nohup: ignoring input
--- ADVERSARIAL TRAINING WITH PAIRWISE RANKING ---
Device: cuda | Max Epochs: 100
Weights: ATE=1.0, Trust=5.0, Pairwise=3.0
E048 | Total: 1.3690 | ATE: 0.2528 | Trust: 0.1657 | Pair: 0.0959 | LR: 0.000053 | Time: 930.1s
E049 | Total: 1.3498 | ATE: 0.2414 | Trust: 0.1625 | Pair: 0.0986 | LR: 0.000052 | Time: 948.7s
E050 | Total: 1.3143 | ATE: 0.2346 | Trust: 0.1602 | Pair: 0.0929 | LR: 0.000050 | Time: 968.1s
E051 | Total: 1.3364 | ATE: 0.2371 | Trust: 0.1627 | Pair: 0.0953 | LR: 0.000048 | Time: 987.2s
E052 | Total: 1.3638 | ATE: 0.2502 | Trust: 0.1646 | Pair: 0.0969 | LR: 0.000047 | Time: 1007.1s
E053 | Total: 1.3336 | ATE: 0.2469 | Trust: 0.1604 | Pair: 0.0949 | LR: 0.000045 | Time: 1026.9s
E054 | Total: 1.3546 | ATE: 0.2362 | Trust: 0.1664 | Pair: 0.0955 | LR: 0.000044 | Time: 1046.9s
E055 | Total: 1.3563 | ATE: 0.2571 | Trust: 0.1625 | Pair: 0.0955 | LR: 0.000042 | Time: 1067.0s
E056 | Total: 1.3411 | ATE: 0.2447 | Trust: 0.1605 | Pair: 0.0980 | LR: 0.000041 | Time: 1086.4s
E057 | Total: 1.3092 | ATE: 0.2596 | Trust: 0.1564 | Pair: 0.0891 | LR: 0.000039 | Time: 1107.3s
E058 | Total: 1.2852 | ATE: 0.2429 | Trust: 0.1543 | Pair: 0.0903 | LR: 0.000038 | Time: 1126.1s
E059 | Total: 1.3153 | ATE: 0.2554 | Trust: 0.1586 | Pair: 0.0889 | LR: 0.000036 | Time: 1146.3s
E060 | Total: 1.2991 | ATE: 0.2485 | Trust: 0.1579 | Pair: 0.0871 | LR: 0.000035 | Time: 1166.2s
E061 | Total: 1.3550 | ATE: 0.2583 | Trust: 0.1621 | Pair: 0.0953 | LR: 0.000033 | Time: 1185.4s
E062 | Total: 1.3111 | ATE: 0.2431 | Trust: 0.1582 | Pair: 0.0923 | LR: 0.000032 | Time: 1204.8s
E063 | Total: 1.2733 | ATE: 0.2289 | Trust: 0.1547 | Pair: 0.0904 | LR: 0.000030 | Time: 1224.1s
E064 | Total: 1.3082 | ATE: 0.2522 | Trust: 0.1571 | Pair: 0.0902 | LR: 0.000029 | Time: 1244.0s
E065 | Total: 1.2805 | ATE: 0.2381 | Trust: 0.1560 | Pair: 0.0875 | LR: 0.000027 | Time: 1263.3s
E066 | Total: 1.2707 | ATE: 0.2335 | Trust: 0.1539 | Pair: 0.0892 | LR: 0.000026 | Time: 1282.0s
E067 | Total: 1.3475 | ATE: 0.2377 | Trust: 0.1626 | Pair: 0.0990 | LR: 0.000025 | Time: 1301.9s
E068 | Total: 1.2778 | ATE: 0.2434 | Trust: 0.1534 | Pair: 0.0890 | LR: 0.000023 | Time: 1320.9s
E069 | Total: 1.3154 | ATE: 0.2532 | Trust: 0.1579 | Pair: 0.0908 | LR: 0.000022 | Time: 1341.6s
E070 | Total: 1.2651 | ATE: 0.2308 | Trust: 0.1520 | Pair: 0.0914 | LR: 0.000021 | Time: 1360.8s
E071 | Total: 1.2945 | ATE: 0.2486 | Trust: 0.1561 | Pair: 0.0884 | LR: 0.000019 | Time: 1379.6s
E072 | Total: 1.3400 | ATE: 0.2559 | Trust: 0.1592 | Pair: 0.0960 | LR: 0.000018 | Time: 1399.6s
E073 | Total: 1.2967 | ATE: 0.2363 | Trust: 0.1569 | Pair: 0.0919 | LR: 0.000017 | Time: 1419.1s
E074 | Total: 1.3110 | ATE: 0.2501 | Trust: 0.1569 | Pair: 0.0921 | LR: 0.000016 | Time: 1438.2s
E075 | Total: 1.2893 | ATE: 0.2306 | Trust: 0.1568 | Pair: 0.0916 | LR: 0.000015 | Time: 1457.3s
E076 | Total: 1.2925 | ATE: 0.2447 | Trust: 0.1548 | Pair: 0.0913 | LR: 0.000014 | Time: 1476.1s
E077 | Total: 1.2302 | ATE: 0.2346 | Trust: 0.1486 | Pair: 0.0841 | LR: 0.000012 | Time: 1494.9s
E078 | Total: 1.2882 | ATE: 0.2544 | Trust: 0.1547 | Pair: 0.0868 | LR: 0.000011 | Time: 1514.6s
E079 | Total: 1.2809 | ATE: 0.2474 | Trust: 0.1557 | Pair: 0.0849 | LR: 0.000010 | Time: 1534.0s
E080 | Total: 1.2224 | ATE: 0.2177 | Trust: 0.1490 | Pair: 0.0866 | LR: 0.000010 | Time: 1553.4s
E081 | Total: 1.3001 | ATE: 0.2574 | Trust: 0.1560 | Pair: 0.0875 | LR: 0.000009 | Time: 1572.8s
E082 | Total: 1.2716 | ATE: 0.2423 | Trust: 0.1520 | Pair: 0.0899 | LR: 0.000008 | Time: 1591.7s
E083 | Total: 1.2666 | ATE: 0.2304 | Trust: 0.1534 | Pair: 0.0897 | LR: 0.000007 | Time: 1611.5s
E084 | Total: 1.2904 | ATE: 0.2367 | Trust: 0.1567 | Pair: 0.0900 | LR: 0.000006 | Time: 1631.2s
E085 | Total: 1.2958 | ATE: 0.2644 | Trust: 0.1530 | Pair: 0.0887 | LR: 0.000005 | Time: 1651.0s
E086 | Total: 1.2815 | ATE: 0.2416 | Trust: 0.1547 | Pair: 0.0889 | LR: 0.000005 | Time: 1670.8s
E087 | Total: 1.2974 | ATE: 0.2633 | Trust: 0.1531 | Pair: 0.0896 | LR: 0.000004 | Time: 1690.8s
E088 | Total: 1.2750 | ATE: 0.2487 | Trust: 0.1550 | Pair: 0.0838 | LR: 0.000004 | Time: 1710.2s
E089 | Total: 1.2518 | ATE: 0.2340 | Trust: 0.1503 | Pair: 0.0888 | LR: 0.000003 | Time: 1729.0s
E090 | Total: 1.2853 | ATE: 0.2488 | Trust: 0.1530 | Pair: 0.0905 | LR: 0.000002 | Time: 1748.5s
E091 | Total: 1.2410 | ATE: 0.2386 | Trust: 0.1494 | Pair: 0.0851 | LR: 0.000002 | Time: 1767.8s
E092 | Total: 1.2852 | ATE: 0.2489 | Trust: 0.1540 | Pair: 0.0887 | LR: 0.000002 | Time: 1788.5s
E093 | Total: 1.3096 | ATE: 0.2538 | Trust: 0.1591 | Pair: 0.0868 | LR: 0.000001 | Time: 1808.6s
E094 | Total: 1.2402 | ATE: 0.2298 | Trust: 0.1503 | Pair: 0.0863 | LR: 0.000001 | Time: 1827.7s
E095 | Total: 1.2405 | ATE: 0.2428 | Trust: 0.1493 | Pair: 0.0838 | LR: 0.000001 | Time: 1847.5s
E096 | Total: 1.2482 | ATE: 0.2425 | Trust: 0.1522 | Pair: 0.0816 | LR: 0.000000 | Time: 1867.6s
E097 | Total: 1.2585 | ATE: 0.2341 | Trust: 0.1510 | Pair: 0.0897 | LR: 0.000000 | Time: 1887.6s
E098 | Total: 1.2702 | ATE: 0.2498 | Trust: 0.1509 | Pair: 0.0887 | LR: 0.000000 | Time: 1907.3s
E099 | Total: 1.2503 | ATE: 0.2556 | Trust: 0.1491 | Pair: 0.0830 | LR: 0.000000 | Time: 1927.7s
E100 | Total: 1.2708 | ATE: 0.2446 | Trust: 0.1533 | Pair: 0.0865 | LR: 0.000000 | Time: 1948.1s
Training complete. Ground-breaking model (maybe) saved.
